time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201607150520,11°C,Wind blowing from 280° West to East,17 km/h,Partly cloudy.,1021 mbar,88%
201607150550,11°C,Wind blowing from 280° West to East,19 km/h,Passing clouds.,1021 mbar,88%
201607150620,11°C,Wind blowing from 260° West to East,19 km/h,Partly sunny.,1021 mbar,88%
201607150650,11°C,Wind blowing from 270° West to East,22 km/h,Broken clouds.,1022 mbar,82%
201607150720,12°C,Wind blowing from 260° West to East,24 km/h,Broken clouds.,1022 mbar,77%
201607150750,12°C,Wind blowing from 270° West to East,22 km/h,Partly sunny.,1022 mbar,77%
201607150820,12°C,Wind blowing from 270° West to East,22 km/h,Partly sunny.,1022 mbar,77%
201607150850,12°C,Wind blowing from 280° West to East,24 km/h,Light rain. Partly sunny.,1023 mbar,77%
201607150920,12°C,Wind blowing from 280° West to East,22 km/h,Partly sunny.,1023 mbar,77%
201607150950,12°C,Wind blowing from 270° West to East,24 km/h,Partly sunny.,1023 mbar,82%
201607151020,12°C,Wind blowing from 270° West to East,26 km/h,Partly sunny.,1023 mbar,82%
201607151050,13°C,Wind blowing from 280° West to East,24 km/h,Partly sunny.,1024 mbar,77%
201607151120,13°C,Wind blowing from 280° West to East,24 km/h,Partly sunny.,1024 mbar,77%
201607151150,14°C,Wind blowing from 280° West to East,22 km/h,Partly sunny.,1024 mbar,72%
201607151220,15°C,Wind blowing from 280° West to East,22 km/h,Partly sunny.,1024 mbar,68%
201607151250,15°C,Wind blowing from 280° West to East,24 km/h,Broken clouds.,1024 mbar,68%
201607151320,15°C,Wind blowing from 280° West to East,24 km/h,Partly sunny.,1024 mbar,72%
201607151350,14°C,Wind blowing from 290° West-northwest to East-southeast,22 km/h,Broken clouds.,1024 mbar,67%
201607151420,14°C,Wind blowing from 290° West-northwest to East-southeast,20 km/h,Light rain. Partly sunny.,1025 mbar,67%
201607151450,14°C,Wind blowing from 280° West to East,20 km/h,Broken clouds.,1025 mbar,67%
201607151520,16°C,Wind blowing from 280° West to East,22 km/h,Partly sunny.,1025 mbar,59%
201607151550,16°C,Wind blowing from 280° West to East,22 km/h,Partly sunny.,1025 mbar,55%
201607151620,17°C,Wind blowing from 290° West-northwest to East-southeast,19 km/h,Partly sunny.,1025 mbar,52%
201607151650,17°C,Wind blowing from 270° West to East,20 km/h,Partly sunny.,1025 mbar,49%
201607151720,18°C,Wind blowing from 290° West-northwest to East-southeast,22 km/h,Partly sunny.,1025 mbar,49%
201607151750,18°C,Wind blowing from 270° West to East,19 km/h,Scattered clouds.,1024 mbar,49%
201607151820,17°C,Wind blowing from 280° West to East,15 km/h,Scattered clouds.,1024 mbar,49%
201607151850,16°C,Wind blowing from 350° North to South,13 km/h,Partly sunny.,1025 mbar,55%
201607151920,16°C,Wind blowing from 320° Northwest to Southeast,9 km/h,Partly sunny.,1025 mbar,59%
201607151950,17°C,Wind blowing from 300° West-northwest to East-southeast,11 km/h,Partly sunny.,1025 mbar,52%
201607152020,16°C,Wind blowing from 280° West to East,9 km/h,Scattered clouds.,1025 mbar,59%
201607152050,15°C,Wind blowing from 300° West-northwest to East-southeast,6 km/h,Passing clouds.,1025 mbar,63%
201607152120,14°C,Wind blowing from 280° West to East,7 km/h,Scattered clouds.,1025 mbar,67%
201607152150,15°C,Wind blowing from 260° West to East,7 km/h,Scattered clouds.,1025 mbar,63%
201607152220,14°C,Wind blowing from 260° West to East,9 km/h,Sunny.,1025 mbar,67%
201607152250,13°C,Wind blowing from 240° West-southwest to East-northeast,9 km/h,Clear.,1025 mbar,72%
201607152320,12°C,Wind blowing from 250° West-southwest to East-northeast,13 km/h,Clear.,1025 mbar,72%
201607152350,11°C,Wind blowing from 250° West-southwest to East-northeast,15 km/h,Clear.,1025 mbar,77%
201607160020,10°C,Wind blowing from 230° Southwest to Northeast,11 km/h,Clear.,1025 mbar,82%
201607160050,10°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Clear.,1026 mbar,82%
201607160120,10°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Clear.,1026 mbar,82%
201607160150,10°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Partly cloudy.,1026 mbar,88%
201607160220,10°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Partly cloudy.,1026 mbar,82%
201607160250,10°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Passing clouds.,1026 mbar,82%
201607160320,10°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Partly cloudy.,1025 mbar,82%
201607160350,9°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Partly cloudy.,1025 mbar,87%
201607160420,9°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Clear.,1025 mbar,87%
201607160450,8°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Clear.,1025 mbar,93%
201607160520,9°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Clear.,1025 mbar,87%
201607160550,9°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Clear.,1025 mbar,87%
201607160620,10°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Sunny.,1025 mbar,88%
201607160650,11°C,Wind blowing from 220° Southwest to Northeast,13 km/h,Scattered clouds.,1025 mbar,82%
201607160720,12°C,Wind blowing from 230° Southwest to Northeast,13 km/h,Scattered clouds.,1025 mbar,82%
201607160750,13°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Scattered clouds.,1025 mbar,82%
201607160820,14°C,Wind blowing from 240° West-southwest to East-northeast,15 km/h,Scattered clouds.,1025 mbar,77%
201607160850,16°C,Wind blowing from 250° West-southwest to East-northeast,17 km/h,Passing clouds.,1025 mbar,68%
201607160920,17°C,Wind blowing from 250° West-southwest to East-northeast,17 km/h,Passing clouds.,1025 mbar,68%
201607160950,18°C,Wind blowing from 260° West to East,15 km/h,Passing clouds.,1025 mbar,64%
201607161020,19°C,Wind blowing from 270° West to East,17 km/h,Passing clouds.,1025 mbar,56%
201607161050,19°C,Wind blowing from 270° West to East,17 km/h,Scattered clouds.,1025 mbar,56%
201607161120,20°C,Wind blowing from 280° West to East,19 km/h,Scattered clouds.,1025 mbar,49%
201607161150,21°C,Wind blowing from 280° West to East,17 km/h,Scattered clouds.,1025 mbar,46%
201607161220,20°C,Wind blowing from 280° West to East,22 km/h,Scattered clouds.,1025 mbar,49%
201607161250,21°C,Wind blowing from 280° West to East,20 km/h,Partly sunny.,1024 mbar,46%
201607161320,20°C,Wind blowing from 280° West to East,20 km/h,Scattered clouds.,1024 mbar,49%
201607161350,21°C,Wind blowing from 260° West to East,20 km/h,Passing clouds.,1024 mbar,50%
201607161420,22°C,Wind blowing from 280° West to East,17 km/h,Scattered clouds.,1024 mbar,47%
201607161450,22°C,Wind blowing from 290° West-northwest to East-southeast,22 km/h,Scattered clouds.,1024 mbar,47%
201607161520,22°C,Wind blowing from 270° West to East,19 km/h,Partly sunny.,1024 mbar,47%
201607161550,22°C,Wind blowing from 290° West-northwest to East-southeast,17 km/h,Partly sunny.,1023 mbar,50%
201607161620,22°C,Wind blowing from 290° West-northwest to East-southeast,20 km/h,Partly sunny.,1023 mbar,50%
201607161650,22°C,Wind blowing from 300° West-northwest to East-southeast,19 km/h,Partly sunny.,1023 mbar,50%
201607161720,21°C,Wind blowing from 280° West to East,19 km/h,Partly sunny.,1023 mbar,53%
201607161750,21°C,Wind blowing from 290° West-northwest to East-southeast,17 km/h,Partly sunny.,1023 mbar,53%
201607161820,21°C,Wind blowing from 320° Northwest to Southeast,17 km/h,Partly sunny.,1023 mbar,53%
201607161850,21°C,Wind blowing from 300° West-northwest to East-southeast,13 km/h,Partly sunny.,1023 mbar,57%
201607161920,21°C,Wind blowing from 300° West-northwest to East-southeast,15 km/h,Partly sunny.,1023 mbar,57%
201607161950,20°C,Wind blowing from 300° West-northwest to East-southeast,15 km/h,Partly sunny.,1023 mbar,60%
201607162020,20°C,Wind blowing from 290° West-northwest to East-southeast,11 km/h,Partly sunny.,1023 mbar,64%
201607162050,19°C,Wind blowing from 300° West-northwest to East-southeast,11 km/h,Partly sunny.,1023 mbar,68%
201607162150,19°C,Wind blowing from 310° Northwest to Southeast,9 km/h,Partly sunny.,1024 mbar,68%
201607162220,19°C,Wind blowing from 320° Northwest to Southeast,15 km/h,Partly sunny.,1024 mbar,68%
